순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA,포지션,BB/9
14,브리검,키움,3.69,28,0,0,28,13,5,0,0,158.1,62,52,669,148,32,2,5,46,0,12,130,1,7,2.96,3.27,1.23,140,126.9,3.69,1.21,우선,2.62 
15,유희관,두산,3.55,28,2,0,27,11,8,0,0,166.1,67,60,692,171,37,2,8,42,3,3,64,0,2,3.25,4.02,1.28,126.5,102.3,3.55,1.7,좌선,2.28 
16,쿠에바스,kt,3.44,30,0,0,30,13,10,0,0,184,80,74,760,153,21,6,18,63,0,12,135,0,4,3.62,4.43,1.17,114.3,92.7,3.44,1.22,우선,3.08 
17,윌슨,LG,3.4,30,1,0,30,14,7,0,0,185,77,60,763,171,27,2,7,43,1,11,137,0,6,2.92,3.27,1.16,140.6,125.4,3.4,1.88,우선,2.09 
18,최원태,키움,3.1,27,0,0,27,11,5,0,0,157.1,68,59,666,165,28,2,5,36,0,5,105,0,5,3.38,3.26,1.28,122.6,127.1,3.1,0.6,우선,2.06 
19,하재훈,SK,3.09,61,0,0,0,5,3,36,3,59,13,13,245,47,11,0,1,26,2,1,64,1,0,1.98,2.73,1.24,214.6,154.7,3.09,3.47,우마,3.97 
20,이영하,두산,3.03,29,1,0,27,17,4,0,0,163.1,70,66,692,148,28,5,5,61,1,10,90,2,5,3.64,3.99,1.28,112.9,103.4,3.03,3.13,우선,3.37 
21,문승원,SK,2.89,26,0,0,23,11,7,0,2,144,63,62,586,130,13,5,23,33,1,3,99,0,0,3.88,4.83,1.13,109.8,89.6,2.89,0.72,우선,2.06 
22,문경찬,KIA,2.88,54,0,0,0,1,2,24,0,55,9,8,217,45,9,1,2,10,1,0,50,0,0,1.31,2.55,1,320.3,165.4,2.88,0.26,우마,1.64 
23,구창모,NC,2.67,23,0,0,19,10,7,0,1,107,40,38,449,85,15,2,10,42,0,5,114,0,7,3.2,3.81,1.19,131.8,111.5,2.67,1.09,좌선,3.53 
24,서진용,SK,2.63,72,0,0,0,3,1,4,33,68,19,18,279,53,9,2,2,28,4,2,76,0,1,2.38,2.7,1.19,178.6,157.4,2.63,2.87,우마,3.71 
25,알칸타라,kt,2.6,27,1,0,27,11,11,0,0,172.2,80,77,724,189,39,3,15,27,0,8,100,2,2,4.01,3.98,1.25,103.1,103.3,2.6,0.88,우선,1.41 
26,후랭코프,두산,2.59,22,0,0,22,9,8,0,0,117.1,48,47,495,110,20,2,5,30,1,13,111,1,2,3.61,3.14,1.19,113.9,130.4,2.59,0.48,우선,2.31 
27,프리드릭,NC,2.38,12,2,1,12,7,4,0,0,72,22,22,294,63,6,0,4,22,1,3,56,0,2,2.75,3.57,1.18,153.2,118.3,2.38,0.79,좌선,2.75 
28,배제성,kt,2.21,28,1,1,21,10,10,0,0,131.2,58,55,564,132,18,3,6,56,0,3,91,0,10,3.76,3.96,1.43,110.1,104.5,2.21,0.18,우선,3.84 
29,박준표,KIA,2.14,49,0,0,0,5,2,0,15,56,15,13,210,42,5,1,4,6,1,4,30,0,1,2.09,3.74,0.86,200.7,111.8,2.14,1.94,우중,0.96 
30,박종훈,SK,2.1,28,0,0,28,8,11,0,0,144,72,62,643,157,29,0,12,59,0,13,100,0,1,3.88,4.6,1.5,109.8,92.8,2.1,0.73,우선,3.69 
31,주권,kt,2.08,71,0,0,0,6,2,2,25,75.1,25,25,296,64,15,0,7,14,0,2,47,0,1,2.99,4,1.04,138.6,102.8,2.08,3.22,우중,1.68 
32,백정현,삼성,2.07,28,1,1,27,8,10,0,0,157,85,74,677,158,29,4,17,56,0,6,82,0,4,4.24,4.95,1.36,102.3,86.3,2.07,-0.65,좌선,3.21 
33,다익손,SK롯,2.06,29,0,0,28,6,10,0,0,149.1,81,72,649,164,23,3,15,40,1,6,117,1,4,4.34,4.05,1.37,97.3,104.9,2.06,-0.58,우선,2.41 
34,우규민,삼성,1.99,54,0,0,0,2,7,15,7,59,20,18,247,58,3,0,7,10,1,6,40,0,0,2.75,4.35,1.15,158,98.4,1.99,0.96,우마,1.53 
35,소사,SK,1.93,16,0,0,16,9,3,0,0,94.1,42,40,387,85,6,0,15,23,0,2,96,1,3,3.82,4.23,1.15,111.5,103,1.93,1.38,우선,2.20 
36,진명호,롯데,1.88,60,0,0,0,3,2,0,9,63.1,24,24,273,56,12,0,4,35,4,1,51,0,3,3.41,4.13,1.44,122.9,101.2,1.88,0.68,우중,4.99 
37,전상현,KIA,1.83,57,0,0,0,1,4,0,15,60.2,21,21,245,45,8,1,3,21,2,2,62,0,2,3.12,3.04,1.09,134.6,138.6,1.83,0.47,우중,3.14 
38,조상우,키움,1.75,48,0,0,0,2,4,20,8,47.1,15,14,192,45,3,0,3,8,0,2,46,0,1,2.66,2.92,1.12,155.5,141,1.75,2.1,우마,1.53 
39,장필준,삼성,1.74,61,0,0,0,3,3,11,15,69.2,29,28,302,64,12,1,7,33,3,3,53,0,4,3.62,4.61,1.39,120,92.5,1.74,0.79,우마,4.29 
40,김상수,키움,1.73,67,0,0,0,3,5,0,40,56.2,19,18,238,50,6,0,3,28,1,2,60,0,0,2.86,3.51,1.38,144.8,117.7,1.73,1.04,우중,4.48 
41,이재학,NC,1.7,24,0,0,23,10,4,0,0,129.2,62,55,560,133,24,2,6,43,0,9,91,0,6,3.82,3.8,1.36,110.4,110.9,1.7,0.29,우선,3.00 
42,김재윤,kt,1.68,43,0,0,0,2,2,7,9,47.2,13,12,177,27,3,0,4,12,2,1,42,0,1,2.27,3.42,0.82,182.7,120.2,1.68,1.38,우마,2.29 
43,윤명준,두산,1.62,69,0,0,0,6,2,1,14,68.1,23,20,279,63,14,0,3,20,2,3,40,0,7,2.63,3.73,1.22,155.8,110.3,1.62,0.36,우중,2.64 
44,윌랜드,KIA,1.61,28,0,0,28,8,10,0,0,165,95,87,726,191,41,1,17,59,1,5,137,0,4,4.75,4.23,1.52,88.4,99,1.61,-0.78,우선,3.22 
45,오주원,키움,1.6,57,0,0,0,3,3,18,3,54.1,17,14,223,54,7,0,1,7,0,3,41,0,1,2.32,2.69,1.12,178.5,155.1,1.6,1.33,좌마,1.16 
46,최성영,NC,1.45,26,0,0,15,4,1,0,2,82.1,39,36,368,79,15,3,3,48,0,4,62,0,3,3.94,4.27,1.54,107.1,98.9,1.45,-0.01,좌선,5.26 
47,차우찬,LG,1.44,29,0,0,28,13,8,0,0,168.1,87,77,730,181,30,1,16,59,0,5,124,0,13,4.12,4.31,1.43,99.7,94.1,1.44,0.19,좌선,3.16 
